##Temp./°C	DSC/(mW/mg)
	GFP
182,07889	0,136314074094358
182,32889	0,136324074094358
182,57889	0,136704074094358
182,82889	0,137124074094358
183,07889	0,137004074094358
183,32889	0,136984074094358
183,57889	0,137564074094358
183,82889	0,137744074094358
184,07889	0,137844074094358
184,32889	0,138354074094358
184,57889	0,138104074094358
184,82889	0,138544074094358
185,07889	0,138954074094358
185,32889	0,138894074094358
185,57889	0,139084074094358
185,82889	0,139264074094358
186,07889	0,139404074094358
186,32889	0,139254074094358
186,57889	0,139854074094358
186,82889	0,140144074094358
187,07889	0,140434074094358
187,32889	0,140614074094358
187,57889	0,140474074094358
187,82889	0,140984074094358
188,07889	0,141074074094358
188,32889	0,141034074094358
188,57889	0,141754074094358
188,82889	0,141994074094358
189,07889	0,142194074094358
189,32889	0,142174074094358
189,57889	0,142284074094358
189,82889	0,142514074094358
190,07889	0,142164074094358
190,32889	0,143024074094358
190,57889	0,143194074094358
190,82889	0,143404074094358
191,07889	0,143714074094358
191,32889	0,144004074094358
191,57889	0,143844074094358
191,82889	0,144234074094358
192,07889	0,144094074094358
192,32889	0,144384074094358
192,57889	0,144774074094358
192,82889	0,145024074094358
193,07889	0,144884074094358
193,32889	0,145224074094358
193,57889	0,145554074094358
193,82889	0,145424074094358
194,07889	0,145504074094358
194,32889	0,146074074094358
194,57889	0,146314074094358
194,82889	0,146324074094358
195,07889	0,146444074094358
195,32889	0,146544074094358
195,57889	0,146484074094358
195,82889	0,146244074094358
196,07889	0,146154074094358
196,32889	0,146744074094358
196,57889	0,147184074094358
196,82889	0,146784074094358
197,07889	0,146914074094358
197,32889	0,147374074094358
197,57889	0,147674074094358
197,82889	0,147604074094358
198,07889	0,147434074094358
198,32889	0,147604074094358
198,57889	0,147444074094358
198,82889	0,147684074094358
199,07889	0,145244074094358
199,32889	0,147024074094358
199,57889	0,147064074094358
199,82889	0,147424074094358
200,07889	0,147744074094358
200,32889	0,148264074094358
200,57889	0,147994074094358
200,82889	0,148304074094358
201,07889	0,149044074094358
201,32889	0,148854074094358
201,57889	0,148994074094358
201,82889	0,148904074094358
202,07889	0,149464074094358
202,32889	0,149734074094358
202,57889	0,149554074094358
202,82889	0,149904074094358
203,07889	0,149984074094358
203,32889	0,150314074094358
203,57889	0,150314074094358
203,82889	0,150864074094358
204,07889	0,150544074094358
204,32889	0,151254074094358
204,57889	0,150874074094358
204,82889	0,151474074094358
205,07889	0,151754074094358
205,32889	0,151954074094358
205,57889	0,151994074094358
205,82889	0,152254074094358
206,07889	0,152524074094358
206,32889	0,152824074094358
206,57889	0,152804074094358
206,82889	0,152864074094358
207,07889	0,153444074094358
207,32889	0,153654074094358
207,57889	0,153664074094358
207,82889	0,153824074094358
208,07889	0,153754074094358
208,32889	0,154124074094358
208,57889	0,154324074094358
208,82889	0,154684074094358
209,07889	0,154344074094358
209,32889	0,154984074094358
209,57889	0,155134074094358
209,82889	0,155924074094358
210,07889	0,155344074094358
210,32889	0,156104074094358
210,57889	0,156024074094358
210,82889	0,155944074094358
211,07889	0,156304074094358
211,32889	0,156624074094358
211,57889	0,156834074094358
211,82889	0,156934074094358
212,07889	0,157204074094358
212,32889	0,157264074094358
212,57889	0,157884074094358
212,82889	0,158404074094358
213,07889	0,157654074094358
213,32889	0,158394074094358
213,57889	0,158414074094358
213,82889	0,158304074094358
214,07889	0,159034074094358
214,32889	0,158894074094358
214,57889	0,159504074094358
214,82889	0,159684074094358
215,07889	0,159874074094358
215,32889	0,159814074094358
215,57889	0,159964074094358
215,82889	0,160224074094358
216,07889	0,160284074094358
216,32889	0,160464074094358
216,57889	0,160554074094358
216,82889	0,160824074094358
217,07889	0,161454074094358
217,32889	0,161394074094358
